,title,description,originallink,link,pubDate
0,"‘우영우’ 권민우·최수연 급 러브라인, 수요 없는 공급[TV와치]","8월 17일 방송된 ENA 수목드라마 &apos;이상한 변호사 우영우&apos;(극본 문지원/연출 유인식)에서는 제주도 출장을... 이런 와중에 우영우(박은빈 분)는 과징금 부과 처분 취소 소송에서 주장할만한 새로운 논점을 찾아냈지만, 멘토... ",https://www.newsen.com/news_view.php?uid=202208180752262310,https://n.news.naver.com/mnews/article/609/0000616513?sid=106,"Thu, 18 Aug 2022 10:23:00 +0900"
1,권모술수 쏙 뺀 주종혁 [화보],"&apos;이상한 변호사 우영우&apos;에서 &apos;권모술수 권민우&apos;로 활약한 주종혁, 알고 보면 어릴 때부터 태권도를 배우고 오랫동안 바텐더로 일한 성실파다. 그의 밝은 이미지를 살린 이번 화보에서 주종혁은 다양한 모습을 가진... ",https://www.tvreport.co.kr/2112763,https://n.news.naver.com/mnews/article/213/0001225971?sid=106,"Thu, 18 Aug 2022 10:22:00 +0900"
2,"함태인, &apos;우영우&apos; 마지막회 등장…강렬 존재감 발산",배우 함태인이 &apos;이상한 변호사 우영우&apos; 마지막 회에 등장한다. 소속사 제이플로엔터테인먼트에 따르면 함태인은 18일 밤 9시 방송되는 ENA &apos;이상한 변호사 우영우&apos; 16회에 출연한다. 배우 함태인이 &apos;이상한 변호사 우영우... ,http://www.joynews24.com/view/1511312,http://www.joynews24.com/view/1511312,"Thu, 18 Aug 2022 10:22:00 +0900"
3,"주종혁 ""&apos;우영우&apos; 권모술수 권민우, 가족들도 욕해""[화보]","화제의 드라마 &apos;이상한 변호사 우영우&apos;로 지금 가장 뜨거운 관심을 받고 있는 신인 배우 주종혁과 패션... &apos;이상한 변호사 우영우&apos;는 오늘 종영 예정이며 배우 주종혁의 화보와 인터뷰는 &apos;하퍼스 바자&apos; 9월호, 웹사이트와... ",http://www.celuvmedia.com/article.php?aid=1660783868433011005,http://www.celuvmedia.com/article.php?aid=1660783868433011005,"Thu, 18 Aug 2022 10:22:00 +0900"
4,‘이상한 변호사 우영우’ 박은빈·하윤경·주종혁 원팀 활약 ‘최고 17.8%’,"뉴스토마토 = 신상민 기자 |  ‘이상한 변호사 우영우’에서 박은빈을 위한 하윤경, 주종혁의 의리와 용기가 빛났다. 지난 17일 방송된 ENA채널 ‘이상한 변호사 우영우’ 15회에서 한바다는 해킹을 막지 못해 고객들의... ",http://www.newstomato.com/ReadNews.aspx?no=1141730&inflow=N,http://www.newstomato.com/ReadNews.aspx?no=1141730&inflow=N,"Thu, 18 Aug 2022 10:20:00 +0900"
5,"주종혁 ""&apos;권모술수&apos; 권민우, 가족들도 욕한다…미움 받아도 좋아""",배우 주종혁이 드라마 &apos;이상한 변호사 우영우&apos; 속 권민우 캐릭터에 대한 애정을 드러냈다. 18일 하퍼스 바자는 주종혁과 함께 한 화보를 공개했다. 주종혁은 드라마 &apos;이상한 변호사 우영우&apos;로 &apos;국민 밉상&apos;이라는 별명이... ,http://news.mt.co.kr/mtview.php?no=2022081809433968663,https://n.news.naver.com/mnews/article/008/0004784365?sid=106,"Thu, 18 Aug 2022 10:20:00 +0900"
6,"&apos;우영우와 일하는 법?&apos; 장애인고용공단, 공기관 고용 컨설팅 개최","한국장애인고용공단은 18일 서울 종로구 블루스퀘어에서 공공기관을 대상으로 장애인고용 합동 컨설팅을 진행했다고 밝혔다. 합동 컨설팅은 ‘어둠 속의 대화’ 체험, 공공기관 장애인 채용사례 공유, 문제해결... ",http://www.fnnews.com/news/202208181005082195,https://n.news.naver.com/mnews/article/014/0004884930?sid=102,"Thu, 18 Aug 2022 10:19:00 +0900"
7,"&apos;이상한 변호사 우영우&apos; 강태오, 박은빈 이별 이유에 &apos;맴찢&apos;→&apos;고래커플&apos; 결말...","방송 캡처 [반응이 센 CBC뉴스ㅣCBCNEWS]  &apos;이상한 변호사 우영우&apos; 박은빈을 위한 하윤경, 주종혁의 의리와 용기가 빛났다. 지난 17일 방송된 ENA채널 &apos;이상한 변호사 우영우&apos;(연출 유인식, 극본 문지원, 제작 에이스토리... ",http://www.cbci.co.kr/news/articleView.html?idxno=431525,http://www.cbci.co.kr/news/articleView.html?idxno=431525,"Thu, 18 Aug 2022 10:18:00 +0900"
8,함태인 ‘우영우’ 마지막회 출연…예측불가 서사 안고 온다,"배우 함태인이 ‘우영우’ 마지막회에서 남다른 존재감을 발휘한다. 소속사 제이플로엔터테인먼트에 따르면 함태인은 18일 방송되는 ENA채널 ‘이상한 변호사 우영우’(‘우영우’) 16회 에피소드에 출연, 우영우와... ",https://isplus.com/2022/08/18/enter/entertainment/20220818101707143.html,https://n.news.naver.com/mnews/article/241/0003225497?sid=106,"Thu, 18 Aug 2022 10:17:00 +0900"
9,"‘우영우’ 아빠 전배수, “좋은 작품에 함께할 수 있어 너무 행복”",ENA채널 ‘이상한 변호사 우영우’가 최종회 방송을 앞두고 있는 가운데 국민아빠로 활약한 배우 전배수가... 친 엄마의 존재를 알게 된 우영우에게 최대한 감정을 누르며 덤덤하게 이야기한 후 허무한 듯 혼자 씁쓸하게... ,http://www.fnnews.com/news/202208181015028080,https://n.news.naver.com/mnews/article/014/0004884926?sid=106,"Thu, 18 Aug 2022 10:16:00 +0900"
