,title,description,originallink,link,pubDate
0,코로나 신규 확진 17만8574명…해외유입 633명 역대 최다,신종 코로나바이러스 감염증(COVID-19·코로나19) 신규 확진자가 18일 18만명에 육박했다. 해외유입 확진자는 역대 최다치를 기록했다. 중앙방역대책본부는 이날 0시 기준 코로나19 신규 확진자수가... ,https://www.dongascience.com/news/view/55864,https://n.news.naver.com/mnews/article/584/0000019928?sid=103,"Thu, 18 Aug 2022 10:31:00 +0900"
1,[연합뉴스 이 시각 헤드라인] - 10:30,후반 코로나19 재유행이 계속되는 가운데 18일 신규 확진자 수가 이틀째 10만명대 후반을 기록했다. 중앙방역대책본부는 이날 0시 기준으로 코로나19 확진자가 17만8천574명 늘어 누적 2천186만1천296명이 됐다고... ,https://www.yna.co.kr/view/AKR20220818052000011?input=1195m,https://n.news.naver.com/mnews/article/001/0013382394?sid=004,"Thu, 18 Aug 2022 10:31:00 +0900"
2,"저축은행 업계, 집중호우 피해 복구 성금 3억 기부","한편 저축은행 업계는 지난 강원도 산불, 코로나19 등 국가적 재난 발생시에도 성금을 기부한 바 있다. 코로나19 관련 만기연장·상환유예 등 금융지원 프로그램에도 적극 참여하며 어려움에 처한 자영업자 등의 재기를... ",https://www.dailian.co.kr/news/view/1143818/?sc=Naver,https://n.news.naver.com/mnews/article/119/0002631267?sid=101,"Thu, 18 Aug 2022 10:31:00 +0900"
3,고(故) 장준하 선생 47주기 추모식 열려,"장준하기념사업회 주관으로 열린 이번 추모식은 코로나 상황을 고려해 공식행사 없이 헌화와 분향 참배로 진행됐다. 이날 추모식에는 김경일 파주시장, 조성환 경기도의원, 이성철 파주시의회 의장 및 시의원... ",http://news.tf.co.kr/read/national/1959237.htm,https://n.news.naver.com/mnews/article/629/0000167457?sid=102,"Thu, 18 Aug 2022 10:31:00 +0900"
4,"인천서구구립도서관, 제1회 통통한 도서관 축제 개최",인천서구구립도서관은 그동안 코로나19로 단절됐던 구민들과 대면 회복을 위해 오는 9월24일 오후... 구재용 이사장은 “이번 행사를 통해 코로나19로 지친 지역주민들에게 화합의 장을 제공하고 그동안 도서관에... ,http://www.shinailbo.co.kr/news/articleView.html?idxno=1588263,http://www.shinailbo.co.kr/news/articleView.html?idxno=1588263,"Thu, 18 Aug 2022 10:30:00 +0900"
5,인천 코로나19 확진자 9222명...이틀 연속 9000명대 기록,인천의 코로나19 확진자가 또 9000명을 넘었다. 인천시는 18일 0시 기준 인천의 코로나19 하루 확진자가 9222명 늘어 누적 126만 6337명을 기록했다고 밝혔다. 전날인 17일 9113명보다 더 증가한 수치이자 이틀 연속... ,https://www.kgnews.co.kr/news/article.html?no=714364,https://www.kgnews.co.kr/news/article.html?no=714364,"Thu, 18 Aug 2022 10:30:00 +0900"
6,"코레일관광개발 용산승무지사 사회봉사단, 방배동 폭우피해 입은 수재민 지원...","방배노인종합복지관을 통해 전달한 물품은 수재민을 위해 사용되며, 이와 별도로 코로나로 중단되었던 어르신 배식 봉사활동도 방배노인종합복지관에서 함께 진행되었다. 정현우 코레일관광개발 대표이사는 ""폭우로 큰... ",http://www.discoverynews.kr/news/articleView.html?idxno=859463,http://www.discoverynews.kr/news/articleView.html?idxno=859463,"Thu, 18 Aug 2022 10:30:00 +0900"
7,"북한 순항미사일 2발 발사에 美 전문가들 ""추가 도발 신호탄""","판다 선임연구원은 ""북한이 코로나 (방역전) 승리 선언과 함께 다시 미사일 시험을 재개하는 것 같다""고 말했다. 판다 연구원은 ""특히 미국과 한국이 대규모 실기동 연합훈련을 재개하는 상황을 감안할 때 8월 중순에서... ",http://www.lkp.news/news/articleView.html?idxno=22944,http://www.lkp.news/news/articleView.html?idxno=22944,"Thu, 18 Aug 2022 10:30:00 +0900"
8,"풀무원, 지속가능식품 전문 브랜드 &apos;지구식단&apos; 론칭…청정원 호밍스 만두 5종...",이슬라이브 페스티벌은 국내 유일의 소주 뮤직페스티벌로 코로나19로 인해 2019년 이후 3년만에 열린다. 올해는 9월 3일 경기도 가평군 자라섬에서 진행된다. 하이트진로는 오는 22일부터 페스티벌에 참여하는 아티스트의... ,http://www.sisaon.co.kr/news/articleView.html?idxno=141990,http://www.sisaon.co.kr/news/articleView.html?idxno=141990,"Thu, 18 Aug 2022 10:30:00 +0900"
9,"한경대, 코이카 추진 &apos;몽골 생명과학대 산학연계형 고등교육 역량강화 사업&apos;...","사업 총괄책임자인 남인식 한경대 동물생명융합학부 교수는 ""코로나로 현지방문조사 없이 온라인으로 계획이 수립됐으나 이미 2013년부터 3년간 &apos;몽골 친환경 농업생산성 향상 지원사업&apos;을 통해 몽골의 축산현황을 알고... ",http://www.veritas-a.com/news/articleView.html?idxno=425944,http://www.veritas-a.com/news/articleView.html?idxno=425944,"Thu, 18 Aug 2022 10:30:00 +0900"
10,"中 보란 듯 이어지는 대만 방문 행렬…中관영지 ""엄정한 대응"" 반발","캐나다 의원들은 과거 2년마다 대만을 방문했지만 한동안 신종 코로나바이러스 감염증(코로나19)로 일정을 미뤘다. 스그로 의원은 ""이는 무역 기회가 있는 곳이며 어디든 캐나다 기업들에게 문을 열려 있도록 하기 위한... ",https://www.news1.kr/articles/4776408,https://n.news.naver.com/mnews/article/421/0006283940?sid=104,"Thu, 18 Aug 2022 10:30:00 +0900"
11,중원대 상보도서관 &apos;중원인 서가&apos; 오픈식 개최,"이날 행사에는 코로나 재확산 예방을 위해 최소인원으로 황윤원 총장을 비롯한 김철수 부총장, 주요보직자, 상보도서관 운영위원 등 학내구성원 20여 명이 참석했다. 상보도서관에 따르면 &apos;중원인 서가&apos;는 상보도서관의... ",http://www.veritas-a.com/news/articleView.html?idxno=425945,http://www.veritas-a.com/news/articleView.html?idxno=425945,"Thu, 18 Aug 2022 10:30:00 +0900"
12,"18일 경남 코로나 확진자, 1만1631명 발생","18일 경남에서 코로나 확진자가 11,631명을 기록하면서 경남도는 긴장감을 늦추지 못하고 있다. 지역별로는 창원 3,587, 진주 1,452, 통영 364, 사천 530, 김해 1,881, 밀양 342... ",http://www.breaknews.com/916885,http://www.breaknews.com/916885,"Thu, 18 Aug 2022 10:30:00 +0900"
13,"尹 취임 100일에 미사일 쏜 北, 보도는 삼가","북측이 코로나19 방역전 승리 선포 이후 경제 성과 달성 등 &apos;내부 이슈&apos;에 주력하고 있는 만큼, 군사행동은 벌이되 외부와의 마찰 가능성은 최소화하려는 취지로 풀이된다. 18일 관영매체인 조선중앙통신 등 북한 주요 매체... ",https://www.dailian.co.kr/news/view/1143776/?sc=Naver,https://n.news.naver.com/mnews/article/119/0002631265?sid=100,"Thu, 18 Aug 2022 10:30:00 +0900"
14,"코빗, &apos;울트라 코리아 2022&apos; NFT 판매","오세진 코빗 대표는 ""코로나19 여파로 3년 만에 열리는 축제인 만큼 NFT로 평생 소장해 축제를 더 의미 있게 기억할 수 있다""며 ""앞으로도 다양한 행사와 연계해 코빗의 NFT를 많은 분들에게 소개하고 싶다""고... ",http://www.metroseoul.co.kr/article/20220818500114,http://www.metroseoul.co.kr/article/20220818500114,"Thu, 18 Aug 2022 10:30:00 +0900"
15,경희대 &apos;2021 후기 학위수여식&apos; 비대면 개최,"한균태 총장은 코로나19 창궐 후 지금까지의 시간을 도전과 응전의 시간으로 표현했다. 그는 ""경희인들은... 그는 ""코로나로 인한 불편은 있었지만, 이를 통해 코로나 관련 신문 기사들의 태도 차이를 비판적 담화 분석한... ",http://www.veritas-a.com/news/articleView.html?idxno=425943,http://www.veritas-a.com/news/articleView.html?idxno=425943,"Thu, 18 Aug 2022 10:30:00 +0900"
16,베네수엘라 어린이 백신 예방 접종 캠페인,"AFP통신에 따르면 베네수엘라 정부는 지난 6월부터 소아마비, 홍역, 풍진, 황열병, 로타바이러스, 코로나19 등에 대한 백신 접종률을 높이기 위해 대규모 어린이 예방 접종 캠페인을 진행하고 있다.",https://www.gukjenews.com/news/articleView.html?idxno=2531313,https://www.gukjenews.com/news/articleView.html?idxno=2531313,"Thu, 18 Aug 2022 10:30:00 +0900"
17,"글로벌 제약·바이오 산업, 파트너십 늘고 선지급금 비율은 줄어",또한 지난해는 코로나19 팬데믹 이전과 비교해 ▲파트너십 건수 ▲VC 투자 ▲IPO 자금조달 등이 대거 증가했다. 작년 4천650건의 글로벌 제약·바이오 분야의 거래가 발생했는데 이는 2019년 코로나19 팬데믹 이전보다... ,https://zdnet.co.kr/view/?no=20220818102905,https://n.news.naver.com/mnews/article/092/0002265668?sid=105,"Thu, 18 Aug 2022 10:30:00 +0900"
18,"종로, 한복뽐내기대회 “한복맵시 최강자 찾습니다” ","지난해까지는 코로나19 확산 방지를 위해 비대면 프로그램 위주로 선봬 왔으나 올해에는 그간 국내외 관광객으로부터 많은 사랑을 받았던 ‘강강술래’, ‘한복패션쇼’ 등을 재개하고 시민 모두와 함께하는... ",http://www.shinailbo.co.kr/news/articleView.html?idxno=1588266,http://www.shinailbo.co.kr/news/articleView.html?idxno=1588266,"Thu, 18 Aug 2022 10:30:00 +0900"
19,[문예공론] 빼앗긴 봄에도 꽃은 피었건만,= 코로나19에 빼앗긴 봄 그래도 봄은 오고야 말았습니다 봄이 오면 설레이는 가슴을 안고 불러보던 노래가 있었습니다. &apos;연분홍 치마가 봄바람에 휘날리더라&apos; 그러나 올해의 봄은 코로나 19로 인해 입과 코를 막아야만... ,http://www.joongdo.co.kr/web/view.php?key=20220818010004986,http://www.joongdo.co.kr/web/view.php?key=20220818010004986,"Thu, 18 Aug 2022 10:30:00 +0900"
20,"AIA생명, 서울뇌성마비복지관 아동과 여름 나들이",지난 2020년에는 코로나19로 봉사단의 활동이 잠시 중단됐지만 지난해에는 복지관 아이들과 여러 부모님의 적극적인 요청으로 활동이 재개돼 포천 자동차극장에서 아이들을 위한 영화 상영이 진행됐다. 이번 여름... ,http://www.babytimes.co.kr/news/articleView.html?idxno=59776,http://www.babytimes.co.kr/news/articleView.html?idxno=59776,"Thu, 18 Aug 2022 10:30:00 +0900"
21,"호남대학교 외식조리학과, 봉선시장 요리경연대회 ‘최우수상’ 수상",외식조리학과 입학 BUM 이선호 교수는 “코로나19 상황에서도 최선을 다해 준비했던 노력이 괄목할 성과로 이어져 너무 기쁘다. 봉선시장 문화관광형시장 육성에 기여할수 있도록 지원하겠다”고 말했다.,http://www.cooknchefnews.com/news/view/1065576470719380,http://www.cooknchefnews.com/news/view/1065576470719380,"Thu, 18 Aug 2022 10:30:00 +0900"
